case_id,hours_away,activity_level,housing_type,pet_type,pet_energy_level,mismatch_risk
C001,9,low,apartment,dog,high,high
C002,8,medium,apartment,dog,high,high
C003,7,low,house,dog,high,high
C004,3,high,house,dog,high,low
C005,2,medium,apartment,cat,low,low
C006,10,low,apartment,cat,low,low
C007,6,medium,house,dog,low,low
C008,8,low,house,dog,low,high
C009,1,high,apartment,cat,high,low
C010,5,low,apartment,dog,high,high
C011,4,medium,house,cat,low,low
C012,9,high,house,dog,high,high
C013,7,medium,apartment,dog,high,high
C014,2,low,house,cat,low,low
C015,6,low,apartment,dog,high,high
C016,3,high,house,cat,low,low
C017,8,medium,house,cat,high,low
C018,7,high,house,dog,low,low
C019,9,low,apartment,dog,low,high
C020,4,medium,apartment,dog,low,low
